letter_number,entity_name,entity_type
002,ELIE,PERSON
002,GIBERT,PERSON
002,Charleston,LOCATION
002,Pierre Gibert,PERSON
002,Joseph Bienaime Gibert,PERSON
002,Longcane,LOCATION
002,"Pierre, Clément",PERSON
002,Elie,PERSON
002,Etienne,PERSON
002,Jean Louis,PERSON
002,Kennedy,PERSON
002,Marie,PERSON
002,Wright,PERSON
002,Harriet,PERSON
002,Hemphill,PERSON
002,Elizabeth,PERSON
002,Lee,PERSON
002,Joseph Bienaime,PERSON
002,Kennedy,PERSON
002,Lee,PERSON
002,Joseph,PERSON
002,South Carolina,LOCATION
002,Longcane,LOCATION
002,Jean Louis Gibert,PERSON
002,Louise,PERSON
002,Longcane,PERSON
002,Charleston,LOCATION
002,Thomas,PERSON
002,Sabeau,PERSON
002,Belot,PERSON
002,Gibert,PERSON
002,France,LOCATION
002,Etienne Gibert,PERSON
002,London,LOCATION
002,Charleston,LOCATION
002,France,LOCATION
002,Elie Gibert,PERSON
003,Mary,PERSON
003,Scotch,LOCATION
003,Tom,PERSON
003,Andrew,PERSON
003,Guilfoyle,PERSON
004,Charleston,LOCATION
004,S.C.,LOCATION
004,Tom,PERSON
004,Felix,PERSON
005,Richard  Ready,PERSON
005,Dublin,LOCATION
005,Aunt,PERSON
005,Mary,PERSON
005,Minny,PERSON
005,Richard,PERSON
005,Guilfoyle,PERSON
005,Phil,PERSON
006,Charleston,LOCATION
006,Tony,PERSON
006,Cardiospermum,PERSON
007,Carey,PERSON
007,Willington,PERSON
007,Joe,PERSON
007,Louis  Gillmer,PERSON
007,Alexander  Bowie,PERSON
008,JANE,PERSON
008,"Isaac
Newton",PERSON
008,Crafts,PERSON
008,Gray,PERSON
008,Dean,PERSON
008,Dean,PERSON
008,Dean,PERSON
008,Dean,PERSON
008,Laura,PERSON
008,"Laura
Sweet",PERSON
008,Sweet,PERSON
008,Laura,PERSON
008,Miss,PERSON
008,Laura,PERSON
008,Heyward,PERSON
008,Troy,LOCATION
008,Philadelphia,LOCATION
008,Gregorie,PERSON
008,G.,PERSON
008,J.  L.  Petigru,PERSON
009,S.  LEGARE,PERSON
009,Charleston,LOCATION
009,Martin,PERSON
009,Georgetown,LOCATION
009,Milton  Ferry,PERSON
009,Jones,PERSON
009,Calhoun,PERSON
010,ELIZABETH,PERSON
011,Charleston,LOCATION
011,My  Albert,PERSON
011,Albert,PERSON
011,Becky,PERSON
011,Gibbes,PERSON
011,Porcher,PERSON
011,Susan  Webb,PERSON
011,Morris,PERSON
011,Albert,PERSON
011,Albert,PERSON
011,Tom,PERSON
011,Caroline,LOCATION
012,Jane,PERSON
012,Pendleton,LOCATION
012,Jane  Petigru,PERSON
012,Solomon,PERSON
012,North,PERSON
012,Charleston,LOCATION
012,North,PERSON
012,North,PERSON
012,Adieu,PERSON
013,Charleston,LOCATION
013,Godard,PERSON
013,Laurens,PERSON
013,Magrath*,LOCATION
013,Boycef,PERSON
013,Boyce,LOCATION
013,Godard,PERSON
013,Savannah  River,LOCATION
013,Dawson,LOCATION
013,J.  L.  Petigru,PERSON
014,Charleston,LOCATION
014,St.  Helena,LOCATION
014,Gazette,PERSON
014,Grayson,PERSON
014,Philadelphia,LOCATION
014,Huger,PERSON
014,Middleton,PERSON
014,Holmes,PERSON
014,Tazewell,PERSON
014,Holmes,PERSON
014,St.  Helena,LOCATION
014,J.  L.  Petigru,PERSON
014,B.  F.  H.*,PERSON
014,Cardoza,PERSON
015,Charleston,LOCATION
015,Elliott,PERSON
016,Charleston,LOCATION
016,"Seen
Columbia",PERSON
016,Georgetown,LOCATION
016,Joyner,PERSON
016,Baker,PERSON
016,Grayson,PERSON
016,us,LOCATION
016,Columbia,LOCATION
016,Smith,LOCATION
016,St  John's,PERSON
016,Representa-,PERSON
016,Georgetown,LOCATION
016,Georgetown,LOCATION
016,Ervin,PERSON
016,Marlborough,LOCATION
016,Preston,PERSON
016,Huger,PERSON
016,Philadelphia,LOCATION
016,Virginia,LOCATION
016,Georgia,LOCATION
016,Jackson,PERSON
016,Clay,PERSON
016,Kentucky,LOCATION
016,Ohio,LOCATION
016,Middleton,PERSON
016,Freetraders,LOCATION
016,Columbia,LOCATION
